Date,AAPL,AMZN,GOOG,IBM
2013-10-08,69.991432,311.5,429.864136,181.889999
2013-10-09,69.234283,303.420013,425.373352,179.369995
2013-10-10,70.188568,304.630005,429.128937,183.169998
2013-10-11,69.57,304.769989,430.216858,185.25
2013-10-14,69.975716,309.220001,430.529816,185.410004
2013-10-15,71.072861,309.869995,435.050415,185.740005
2013-10-16,71.541428,308.380005,440.072754,185.419998
2013-10-17,71.425713,307.070007,443.609741,173.839996
2013-10-18,72.284286,319.359985,485.134674,174.800003
2013-10-21,73.110001,329.890015,502.461975,174.419998
2013-10-22,75.201431,327.720001,499.252838,173.350006
2013-10-23,74.14286,330.839996,497.265778,175.089996
2013-10-24,75.0,329.630005,512.601013,176.429993
2013-10-25,75.902855,358.600006,511.085876,178.429993
2013-10-28,75.577141,359.920013,504.319885,177.039993
2013-10-29,76.610001,358.959991,506.257294,177.619995
2013-10-30,74.230003,362.619995,515.363037,181.690002
2013-10-31,75.0,361.730011,511.140533,179.649994
2013-11-01,74.860001,365.630005,512.561279,179.809998
2013-11-04,74.442856,360.119995,512.417236,179.899994
2013-11-05,74.940002,356.779999,506.878235,179.539993
2013-11-06,74.878571,360.450012,509.486298,177.910004
2013-11-07,74.225716,355.859985,508.000946,179.600006
2013-11-08,73.511429,345.950012,501.115723,178.830002
2013-11-11,74.284286,350.589996,501.493256,180.190002
2013-11-12,73.952858,352.98999,500.594116,182.529999
2013-11-13,74.0,347.399994,500.122192,182.270004
2013-11-14,74.687141,357.390015,513.619385,180.479996
2013-11-15,75.225716,367.630005,514.091309,182.380005
2013-11-18,74.998573,370.279999,514.528503,183.520004
2013-11-19,74.147141,365.820007,512.526489,184.630005
2013-11-20,74.175713,367.559998,511.647217,185.220001
2013-11-21,73.942856,364.049988,510.181763,185.539993
2013-11-22,74.21714,370.0,513.371033,183.5
2013-11-25,74.431427,373.820007,515.228943,180.25
2013-11-26,74.874283,377.609985,520.911987,178.669998
2013-11-27,76.615715,383.5,527.583557,177.830002
2013-11-29,78.497147,389.100006,527.648132,179.210007
2013-12-02,79.714287,399.0,528.318787,179.460007
2013-12-03,79.757141,390.109985,522.079407,177.0
2013-12-04,80.785713,383.5,522.288025,175.369995
